image#0#0	caption
3120266797_47e7d91614#3	men with surveying equipment are in the background of landscape
3120266797_47e7d91614#4	people and shrubs are silhouetted against an indigo sky
3120648767_812c72eabe#0	dirt biker in the desert
3120648767_812c72eabe#1	man does jump in the desert on motorcycle
3120648767_812c72eabe#2	man is doing motocross jump into the air
3120648767_812c72eabe#3	man is riding his dirt bike through the air in the desert
3120648767_812c72eabe#4	motorcycle rider wearing black and silver does wheelie on sandy terrain
3120953244_b00b152246#0	boy blowing bubbles into the camera
3120953244_b00b152246#1	little boy and little girl are playing outside with bubbles
3120953244_b00b152246#2	small boy blowing bubbles while small girl stands behind him in the grass
3120953244_b00b152246#3	the girl has passifier while the boy is making bubbles
3120953244_b00b152246#4	two small blonde children blowing bubbles in park
3121482932_f77ca12c01#0	lone four wheeler wearing helmet riding along dusty path
3121482932_f77ca12c01#1	man in jeans is riding an atv over sand
3121482932_f77ca12c01#2	man on is in midair in dry dusty area
3121482932_f77ca12c01#3	person in helmet rides fourwheel vehicle in the desert
3121482932_f77ca12c01#4	person rides fourwheeler in the air
3121521593_18f0ec14f7#0	smiling girl in glasses and bluegray scarf with smiling girl in black coat leaning on her shoulder
3121521593_18f0ec14f7#1	woman leaning her head on the shoulder of another woman
3121521593_18f0ec14f7#2	two girls one wearing glasses dressed in cold weather clothing smile for the camera
3121521593_18f0ec14f7#3	two warmly dress girls posing for picture outdoors
3121521593_18f0ec14f7#4	two young woman hug and pose together for picture
312156254_ef31dca5ed#0	black dog in an orange bandanna pouncing on blue soccer ball in an area covered by fallen leaves
312156254_ef31dca5ed#1	black dog pounces on ball in the leaves
312156254_ef31dca5ed#2	black dog pushes blue ball in yard of brown leaves
312156254_ef31dca5ed#3	dog jumps at shiny blue soccer ball in field of dry leaves
312156254_ef31dca5ed#4	little black dog wearing red collar is in the leaves with blue ball
3122497129_d08f5729b8#0	the two dogs in the snow have red leash
3122497129_d08f5729b8#1	two dogs fighting in the snow
3122497129_d08f5729b8#2	two dogs in the snow are playing with red leash
3122497129_d08f5729b8#3	two dogs play in snow with red leash
3122497129_d08f5729b8#4	two dogs play with red leash on the snow
3122579598_14841c038a#0	playful puppy bites the shirt of young boy
3122579598_14841c038a#1	two boys and white dog stand in park
3122579598_14841c038a#2	two children play with white dog
3122579598_14841c038a#3	two children stand in the grass while white dog bites one of their sweaters
3122579598_14841c038a#4	two kids playing with dog
3122606953_a979dd3d33#0	little black dog chases another little black dog through thick snow
3122606953_a979dd3d33#1	two black dogs walking through the snow
3122606953_a979dd3d33#2	two dogs are running through snow away from the camera
3122606953_a979dd3d33#3	two dogs of the same breed are running through snow that has buried grass
3122606953_a979dd3d33#4	two large black dogs run through the snow
3122773470_b622205948#0	group of people are backpacking through grassy field
3122773470_b622205948#1	group of people walk in line through field next to forest
3122773470_b622205948#2	group of people walking through grassy field
3122773470_b622205948#3	people on nature walk with nets and backpacks with trees to the left of them
3122773470_b622205948#4	several people in line walking through grass with nets in hand
3122888809_9ae9b4b9b2#0	black dog and brown dog are smelling each others noses
3122888809_9ae9b4b9b2#1	black dog and brown dog touching noses in grassy field
3122888809_9ae9b4b9b2#2	black dog is touching noses with light brown dog
3122888809_9ae9b4b9b2#3	there are two dogs one is black and the other is brown sniffing each other
3122888809_9ae9b4b9b2#4	two dogs examine each other in field
3122938209_2b2c6c1fab#0	bicyclist does tricks on lime green bike
3122938209_2b2c6c1fab#1	man dressed in black rides green bike
3122938209_2b2c6c1fab#2	man performs stoppie trick on his bmx green bicycle with no hands
3122938209_2b2c6c1fab#3	man on green bicycle performing trick on one wheel
3122938209_2b2c6c1fab#4	the man is doing trick on his green bike
3123351642_3794f2f601#0	snowboarder in bright green performing jump at competition
3123351642_3794f2f601#1	snowboarder in midair after jumping ramp
3123351642_3794f2f601#2	snowboarder jumps high in the air over snowy hill
3123351642_3794f2f601#3	snowboarder launches off ramp
3123351642_3794f2f601#4	snowboarder sails in the air
3123463486_f5b36a3624#0	brown black and white dog runs along on the gravel
3123463486_f5b36a3624#1	dog runs
3123463486_f5b36a3624#2	little dog running on sand
3123463486_f5b36a3624#3	the brown white and black dog runs on gravel surface
3123463486_f5b36a3624#4	the dog is running across the gravel
3123526484_02952e40fc#0	couple standing outside street
3123526484_02952e40fc#1	man and woman standing on city street
3123526484_02952e40fc#2	man wearing black and woman wearing white are smiling
3123526484_02952e40fc#3	woman and man standing on busy city street smiling
3123526484_02952e40fc#4	two people stand on boston street in winter
3123770450_cedc16d162#0	deer and several turkeys together in the snow
3123770450_cedc16d162#1	deer looks at turkeys in the snow
3123770450_cedc16d162#2	deer and turkeys in the snow
3123770450_cedc16d162#3	deer and turkeys stand on snow covered ground
3123770450_cedc16d162#4	large turkeys and deer stand in the snow
312427606_defa0dfaa8#0	blondhair girl is eating peach
312427606_defa0dfaa8#1	girl eating peach
312427606_defa0dfaa8#2	girl eats peach
312427606_defa0dfaa8#3	little blondhaired girl enjoys eating peach
312427606_defa0dfaa8#4	young girl with blonde hair eating peach
3124549928_10904a5a83#0	boy in brown jacket holds large chunk of snow
3124549928_10904a5a83#1	boy wearing blue mittens gets ready to throw snow
3124549928_10904a5a83#2	child preparing to throw snowball
3124549928_10904a5a83#3	young boy grins as he holds up clump of snow
3124549928_10904a5a83#4	young boy in brown jacket playing with snow
3124838157_7ef96745b7#0	man and two women pose outside retail store
3124838157_7ef96745b7#1	short woman poses between two tall men in front of store that going out of busines
3124838157_7ef96745b7#2	three people stand in front of store window and smile
3124838157_7ef96745b7#3	three people standing outside store window with two large signs in the background
3124838157_7ef96745b7#4	two tall men and short woman standing in front of store that is having closeout
3124964754_2e8a98fb09#0	man jumping barrel while skateboarding
3124964754_2e8a98fb09#1	man does skateboard trick on green barrel
3124964754_2e8a98fb09#2	skateboarder grinding barrel
3124964754_2e8a98fb09#3	the man is rollerskating on green barrel
3124964754_2e8a98fb09#4	the skateboarder is leaping over green barrel
3125041578_c1f2d73b6d#0	an ice skater skating around ring
3125041578_c1f2d73b6d#1	an ice speed skater is skating on the ice wearing red blue and grey uniform
3125041578_c1f2d73b6d#2	person speed skating
3125041578_c1f2d73b6d#3	speed skater on the ice rink
3125041578_c1f2d73b6d#4	speedskater skating race
3125158798_0743dae56e#0	man and woman with red book both dressed in black
3125158798_0743dae56e#1	man and woman pose together on cobblestone street
3125158798_0743dae56e#2	well dressed man and woman are posing for picture
3125158798_0743dae56e#3	man and woman standing together on cobbled street having their picture taken
3125158798_0743dae56e#4	the warmly dressed man and woman stand together outside
3125309108_1011486589#0	group of men hold up man to get rugby ball
3125309108_1011486589#1	soccer team is holding up on player in victory
3125309108_1011486589#2	rugby match
3125309108_1011486589#3	the team of soccer players is competing while wearing red white and green
3125309108_1011486589#4	two opposing players are in the air during rugby match
3125628091_25a31709df#0	little boy in pajamas snuggles on couch with santa hat
3125628091_25a31709df#1	small child wearing green long sleeved top lays with her head on pillow
3125628091_25a31709df#2	smiling child with christmas colored clothing
3125628091_25a31709df#3	child on couch holding red cloth with white fur
3125628091_25a31709df#4	the child with green shirt is on bed smiling
3126225245_96cd2c053f#0	little kid in striped shirt on purple floor is getting excited at chasing bubbles
3126225245_96cd2c053f#1	young toddler boy dances with bubbles at an inside play area
3126225245_96cd2c053f#2	little kids play with bubbles as an adult blows them
3126225245_96cd2c053f#3	the child jumps up at bubbles
3126225245_96cd2c053f#4	young boy with blonde hair swipes at bubbles in the air
3126681108_f88128699c#0	warmly dressed person is shoveling snow outside house
3126681108_f88128699c#1	young girl is shoveling snow in front of house
3126681108_f88128699c#2	child shovels snow near bush outside of building
3126681108_f88128699c#3	the child is shoveling deep white snow near the house
3126681108_f88128699c#4	the girl wearing brown jacket whilst walking in snow
3126724531_f483e1b92a#0	man stands on surfboard and coasts down large wave
3126724531_f483e1b92a#1	surfer catches large wave
3126724531_f483e1b92a#2	surfer rides the waves
3126724531_f483e1b92a#3	surfer surfs across the large wave
3126724531_f483e1b92a#4	the surfer in the wetsuit is riding wave
3126752627_dc2d6674da#0	basketball player shooting while another player is trying to block his shot
3126752627_dc2d6674da#1	basketball player tries to block another
3126752627_dc2d6674da#2	two basketball players reaching for ball
3126752627_dc2d6674da#3	two men are playing basketball
3126752627_dc2d6674da#4	two men jump for the basketball
3126773489_7ae425af17#0	basketball player defends another player
3126773489_7ae425af17#1	man with basketball blocks an attempt to take his ball
3126773489_7ae425af17#2	man runs by other man with basketball at game
3126773489_7ae425af17#3	the player in the white dribbles the ball while the player in the orange tries to stop him
3126773489_7ae425af17#4	two men are playing during basketball game
3126795109_73920ed5dc#0	bald basketball player is standing on court with the ball in his right hand
3126795109_73920ed5dc#1	basketball player holding ball with miami on his shirt
3126795109_73920ed5dc#2	guy playing basketball
3126795109_73920ed5dc#3	miami basketball player with basketball in right hand on court
3126795109_73920ed5dc#4	number five of the university of miami men basketball team has the ball
3126981064_1e803c3d7f#0	man in black wetsuit is surfing on big wave
3126981064_1e803c3d7f#1	man in wetsuit surfing
3126981064_1e803c3d7f#2	surfer is riding large wave
3126981064_1e803c3d7f#3	two surfers catch the same huge wave in the ocean
3126981064_1e803c3d7f#4	two surfers ride wave
3127142756_bf0bfcb571#0	two black dogs in the snow
3127142756_bf0bfcb571#1	two black dogs jump in the snow
3127142756_bf0bfcb571#2	two black dogs run in the snow in field of dry grass
3127142756_bf0bfcb571#3	two dogs are running and playing in the snow
3127142756_bf0bfcb571#4	two dogs playing in the snow
3127614086_9f1d3cf73d#0	basketball player attempts to get the basketball from another player
3127614086_9f1d3cf73d#1	fast paced basketball action
3127614086_9f1d3cf73d#2	the basketball player wearing the white outfit and orange sneakers is doing lay up
3127614086_9f1d3cf73d#3	two men are playing basketball
3127614086_9f1d3cf73d#4	while one ball player watches helplessly another jumps and shoots the ball toward the basket
3127629248_a955b5763b#0	basketball player is about to make layup
3127629248_a955b5763b#1	four basketball players in front of crowd
3127629248_a955b5763b#2	miami and clemson playing basketball game one player about to lay the ball in
3127629248_a955b5763b#3	the basketball player in white is jumping up to score point against the orange team
3127629248_a955b5763b#4	the man in the white jersey is trying to score and his opponent is trying to catch the ball
3127888173_9a9a8ac3bd#0	little kids stand together and receive an award for something
3127888173_9a9a8ac3bd#1	three children are standing with baskets on numbered blocks
3127888173_9a9a8ac3bd#2	three children standing on podium awaiting an award
3127888173_9a9a8ac3bd#3	three children stand on pedestal indicating first second and third place
3127888173_9a9a8ac3bd#4	three children stand on the pedestal
3128164023_ebe8da4c32#0	dogs chase each other
3128164023_ebe8da4c32#1	two brown and white dogs wrestle while running across the wet sand
3128164023_ebe8da4c32#2	two dogs identical white with brown spots wrestle on jet black sand
3128164023_ebe8da4c32#3	two white and brown dogs playing on beach
3128164023_ebe8da4c32#4	two white dogs with brown markings playing
3128514681_a51b415c31#0	two ladies wearing dresses pose on the side of the road at night
3128514681_a51b415c31#1	two woman wearing dresses stand in the street and pose
3128514681_a51b415c31#2	two women in dresses pose on street
3128514681_a51b415c31#3	two women on the side of road
3128514681_a51b415c31#4	two women wearing dresses and heels posing under hanging lights on street
3128856481_86e5df4160#0	white duck expanding its wings in the water
3128856481_86e5df4160#1	white duck is spreading its wings while sitting on the water
3128856481_86e5df4160#2	white duck spreads its wings while in the water
3128856481_86e5df4160#3	white bird sitting in water spreading its wings
3128856481_86e5df4160#4	white duck flapping its wings in the water
3130064588_6d1d3fa2dd#0	two boys on boat riding though the water
3130064588_6d1d3fa2dd#1	two boys sitting on boat in the water
3130064588_6d1d3fa2dd#2	two men are riding blue and orange boat
3130064588_6d1d3fa2dd#3	two men sit on the dock overlooking blue water
3130064588_6d1d3fa2dd#4	two young men with shirts are riding on the back of boat with an orange deck
3130093622_362f32f2bb#0	black and brown dog jumps through the snow
3130093622_362f32f2bb#1	dog is running through the snow
3130093622_362f32f2bb#2	dog running with stick in the snow
3130093622_362f32f2bb#3	german shephard plays in the snow
3130093622_362f32f2bb#4	black and tan dog with object in mouth in the snow
313051099_1bb87d6c56#0	closeup of white dog face while he is holding stick in his mouth
313051099_1bb87d6c56#1	closeup photo of brown dog chewing on muddy stick
313051099_1bb87d6c56#2	tan dog chewing on dog treat
313051099_1bb87d6c56#3	dog with long wet hair biting stick
313051099_1bb87d6c56#4	the brown dog has stick in its mouth
3130970054_04a3865c43#0	four children hold hands and jump into pool
3130970054_04a3865c43#1	four children jumping in swimming pool with only two wearing water wings
3130970054_04a3865c43#2	four children jump into the pool
3130970054_04a3865c43#3	four children jump into the pool together
3130970054_04a3865c43#4	four kids holding hands jump into swimming pool
3131107810_7e9b96cddc#0	group of children sit against fence covered with blanket
3131107810_7e9b96cddc#1	four children huddle under blanket
3131107810_7e9b96cddc#2	four children keeping warm under blanket
3131107810_7e9b96cddc#3	four hooded children huddle under blanket outdoors
3131107810_7e9b96cddc#4	four warmly dressed children sit by cement wall covered in blue blanket
3131160589_dc73c209b7#0	man dressed in santa suit is climbing up large concrete building
3131160589_dc73c209b7#1	man in red suit climbs rock wall
3131160589_dc73c209b7#2	rock climber wearing santa suit is hanging from strand of christmas lights
3131160589_dc73c209b7#3	santa claus climbing rock strung with christmas lights
3131160589_dc73c209b7#4	someone dressed like santa claus is climbing rock wall
3131632154_098f86f4cb#0	two black dogs fetching toys in the snow
3131632154_098f86f4cb#1	two black dogs in the snow
3131632154_098f86f4cb#2	two black dogs running in snow with toys in their mouths
3131632154_098f86f4cb#3	two black dogs running on the snow are biting onto something red and orange
3131632154_098f86f4cb#4	two dogs playing in the snow
3131990048_369b081021#0	bird dives for some food
3131990048_369b081021#1	falcon pursues small rodent as it flees through the grass
3131990048_369b081021#2	hawk diving to catch small animal
3131990048_369b081021#3	falcon closing in on rodent
3131990048_369b081021#4	the hawk swoops down upon its prey
3132006797_04822b5866#0	the two children and the baby with the pink shirt are surrounded by toys
3132006797_04822b5866#1	three children playing on floor with toys
3132006797_04822b5866#2	three children sitting in floor playing with several toys
3132006797_04822b5866#3	three young children playing with colourful toys
3132006797_04822b5866#4	two small children and baby are playing with lot of toys together
3132619510_7dfc947d25#0	white dog with brown ears leaps at white dog running from it
3132619510_7dfc947d25#1	two dogs running along fence
3132619510_7dfc947d25#2	two white dogs are running alongside one another next to fence
3132619510_7dfc947d25#3	two white dogs running and playing in grassy yard
3132619510_7dfc947d25#4	two white dogs running with each other
3132760860_3e743a935d#0	boy with board strapped to his feet does trick while holding onto some kind of rope
3132760860_3e743a935d#1	wakeboarder is leaping into the air whilst holding onto yellow rope
3132760860_3e743a935d#2	girl wearing swim gear is surfboarding
3132760860_3e743a935d#3	this boy is doing stunt with tow rope and skateboard
3132760860_3e743a935d#4	waterskier holding line midjump and almost turned upside down
3132832452_c354c6396c#0	family surrounds baby in the father lap
3132832452_c354c6396c#1	family gathers in the living room
3132832452_c354c6396c#2	man is sitting on couch holding baby while surrounded by children
3132832452_c354c6396c#3	man sitting on couch holding baby surrounded by three young girls
3132832452_c354c6396c#4	three little girls looking at baby that man is holding on his lap
3132903412_b4780d0ccf#0	couple dressed in coats hats and scarves are standing in the snow
3132903412_b4780d0ccf#1	two cold people stand near pole
3132903412_b4780d0ccf#2	two people outside in cold winter with scarf and hat on
3132903412_b4780d0ccf#3	two people standing in the snow
3132903412_b4780d0ccf#4	two people wearing winter clothes stand near pole in winter scene
3133044777_8cc930a4ec#0	fruit stand with its vendor
3133044777_8cc930a4ec#1	man selling produce on the street
3133044777_8cc930a4ec#2	man sells fruit
3133044777_8cc930a4ec#3	man sells fruit
3133044777_8cc930a4ec#4	man with fanny pack standing beside fruit stand
313326614_b2adbe59e0#0	man in red jacket is standing at the top of some steps at night
313326614_b2adbe59e0#1	man in red jacket is standing at the top of the stadium steps
313326614_b2adbe59e0#2	man in red shirt at the top of set of stairs with arena lights on in the background
313326614_b2adbe59e0#3	man stands at the top of flight of stairs at the entrance to stadium
313326614_b2adbe59e0#4	man stands at the top of stadium staircase
3133403457_95dfe11da1#0	child wearing big green fist gloves
3133403457_95dfe11da1#1	young boy is posing with incredible hulk gloves on
3133403457_95dfe11da1#2	young boys hands is wearing two giant green gloves
3133403457_95dfe11da1#3	young boy wearing costume hands raises his arms
3133403457_95dfe11da1#4	small barefoot child with large green toy hands
3133825703_359a0c414d#0	child staring at santa
3133825703_359a0c414d#1	father and son looking at funny looking santa
3133825703_359a0c414d#2	little boy and his father talking to man dressed as santa claws
3133825703_359a0c414d#3	the child is looking at santa claus
3133825703_359a0c414d#4	the little boy has yellow crown and the man is wearing red velvet
3134092148_151154139a#0	guy on surfboard
3134092148_151154139a#1	man is surfing on white surfboard with his hands upraised
3134092148_151154139a#2	man surfing wave
3134092148_151154139a#3	surfer is doing turn on his board
3134092148_151154139a#4	surfer in wetsuit riding wave
3134341610_3c55e373a7#0	man and woman in masks and costume make toast in front of christmas tree
3134341610_3c55e373a7#1	woman in mask sits next to man wearing santa suit and also in mask as they hold wine glasses next to christmas tree
3134341610_3c55e373a7#2	santa and woman drink wine next to the christmas tree while wearing joke disguise glasses
3134341610_3c55e373a7#3	two people one of whom is in santa costume pose wearing funny glasses
3134341610_3c55e373a7#4	two people with silly disguises at christmas time
3134385454_4f1d55333f#0	girl jumping into pool with man standing near
3134385454_4f1d55333f#1	girl jumps into swimming pool with guy in black
3134385454_4f1d55333f#2	man and little girl are playing in an above ground swimming pool
3134385454_4f1d55333f#3	man and little girl splashing in pool
3134385454_4f1d55333f#4	man in black clothes is watching child making splash in pool
3134387321_3a253224c1#0	closeup of three people smiling for the camera
3134387321_3a253224c1#1	girl holds glass and has girl on her right and boy on her left looking into the camera
3134387321_3a253224c1#2	girl in black and white headband and pink neck tie holding glass with friends on either side of her
3134387321_3a253224c1#3	three people pose for picture
3134387321_3a253224c1#4	two women and man pose for the camera
3134387513_ceb75bea0a#0	couple enjoying bit of nightlife smile for the camera
3134387513_ceb75bea0a#1	guy and female with drinks in hand
3134387513_ceb75bea0a#2	man and woman in dark room with lights behind them holding drinks while bright green light shines in their faces
3134387513_ceb75bea0a#3	young couple holding drinks and smiling
3134387513_ceb75bea0a#4	two smiling people with drinks in their hands face each other for picture
3134585858_a8c3493ca5#0	man and woman are dressed in black coats
3134585858_a8c3493ca5#1	man and woman wearing black wool coats
3134585858_a8c3493ca5#2	man and woman both wearing black coats pose for picture
3134585858_a8c3493ca5#3	man and woman in black coats are outside while it is snowing
3134585858_a8c3493ca5#4	man with glasses and woman wearing black hat both wearing black winter coats
3134586018_ae03ba20a0#0	couple wearing winter coats posing together
3134586018_ae03ba20a0#1	man and woman pose for picture together with neither smiling
3134586018_ae03ba20a0#2	man has is arm around the woman who is holding metallic object up to her face
3134586018_ae03ba20a0#3	man in woman dressed warmly pose for picture
3134586018_ae03ba20a0#4	blurry photo of man and woman
3134644844_493eec6cdc#0	man is playing guitar for little girl in hospital
3134644844_493eec6cdc#1	man is playing the guitar for child in hospital bed
3134644844_493eec6cdc#2	man plays guitar for sick child in hospital
3134644844_493eec6cdc#3	man plays guitar for girl in the hospital
3134644844_493eec6cdc#4	man with guitar playing to an ill little girl in hospital bed
3135504530_0f4130d8f8#0	one girl is wearing white tshirt with red sleeves the other has words on hers
3135504530_0f4130d8f8#1	two asian girls laughing together
3135504530_0f4130d8f8#2	two girls with dark hair and white shirts
3135504530_0f4130d8f8#3	two girls with long hair are smiling and one is hold something white and green
3135504530_0f4130d8f8#4	two women in white shirts talking
3135826945_f7c741e5b7#0	boy wearing yellow reads book
3135826945_f7c741e5b7#1	little boy with yellow shirt is looking at book someone is holding in front of him
3135826945_f7c741e5b7#2	parent and their toddler are reading book
3135826945_f7c741e5b7#3	person in sweater sits looking at book with child on their lap
3135826945_f7c741e5b7#4	woman teaches young boy about babies through book
3136043366_b3f8607a0e#0	bunch of football players in blue
3136043366_b3f8607a0e#1	football team in blue uniforms run out of smoke cloud
3136043366_b3f8607a0e#2	group of football players wearing blue uniforms run down foggy field
3136043366_b3f8607a0e#3	large group of football players in blue jerseys running through the field
3136043366_b3f8607a0e#4	seven american footballers in blue are doing victory run towards camera
3136404885_f4d8f1d15a#0	bald man in striped shirt and jeans walks away from mural of red car with blonde man wearing an orange and black jacket with jeans
3136404885_f4d8f1d15a#1	two men are walking towards building with huge car painted on it
3136404885_f4d8f1d15a#2	two men walking in front of grafitti image of car
3136404885_f4d8f1d15a#3	two men walking past graffited wall scene of red classic car
3136404885_f4d8f1d15a#4	two men walking past mural of car
3136674757_57406c305c#0	an older man in tank top and younger girl in striped shirt pose on couch
3136674757_57406c305c#1	an older man is hugging younger girl
3136674757_57406c305c#2	an old man and young woman embrace on couch
3136674757_57406c305c#3	an old man is hugging woman in red striped top on the couch
3136674757_57406c305c#4	an old man is hugging the young girl wearing red striped shirt
3136688093_568b053bdf#0	man stands onstage with fireworks going off beside of him
3136688093_568b053bdf#1	performer on concert stage
3136688093_568b053bdf#2	person onstage with light show in pink and blue
3136688093_568b053bdf#3	fireworks light up the night as man stands onstage
3136688093_568b053bdf#4	person standing onstage with fireworks shooting behind them
3137061312_eb5fdcf3fd#0	subway train with lights on is at the station
3137061312_eb5fdcf3fd#1	train approaches in dimly lit subway
3137061312_eb5fdcf3fd#2	train is underground
3137061312_eb5fdcf3fd#3	the train is coming down the track
3137061312_eb5fdcf3fd#4	train in station
3138399980_d6ab8b2272#0	person in an orange shirt reaching up
3138399980_d6ab8b2272#1	person wearing an orange shirt has her hand in the air as others watch
3138399980_d6ab8b2272#2	woman in park stands with her arm up in the air
3138399980_d6ab8b2272#3	woman in orange throws her hand in the air
3138399980_d6ab8b2272#4	the woman in the orange shirt has her hand raised
3138433655_ea1d59e5b7#0	child is smiling whilst he is has his hands clasped in front of him
3138433655_ea1d59e5b7#1	group of children doing dance
3138433655_ea1d59e5b7#2	group of young people doing pose
3138433655_ea1d59e5b7#3	little boy in black and white snow costume dances with group of little girls
3138433655_ea1d59e5b7#4	children are dressed in black and white costumes
3138504165_c7ae396294#0	goalie stands in front of the goal at hockey game
3138504165_c7ae396294#1	hockey player guards the goal
3138504165_c7ae396294#2	hockey player in yellow jersey is guarding the goal
3138504165_c7ae396294#3	an ice hockey goalkeeper wearing yellow is defending the goal
3138504165_c7ae396294#4	the goaltender is crouching in front of the goal
3138562460_44227a35cf#0	brown and white horse runs in the gravel
3138562460_44227a35cf#1	brown and white horse runs quickly
3138562460_44227a35cf#2	horse runs
3138562460_44227a35cf#3	large horse with gear but no rider
3138562460_44227a35cf#4	the horse gallops around the field
3138746531_f6b816c126#0	group of people are burning things
3138746531_f6b816c126#1	several people read by campfire at night
3138746531_f6b816c126#2	three men in caps sit at fireside near cabin reading at night
3138746531_f6b816c126#3	three people sit around campfire
3138746531_f6b816c126#4	three people sitting around fire
3139118874_599b30b116#0	two girls pose for picture at christmastime
3139118874_599b30b116#1	two girls stand in front of christmas tree with their arms around each other
3139118874_599b30b116#2	two girls who look alike pose in front of christmas tree
3139118874_599b30b116#3	two young girls pose smiling for picture with christmas tree behind them
3139118874_599b30b116#4	two young women smiling in front of christmas tree
3139160252_75109e9e05#0	three girls are posing for picture beside dresser in front of decorated christmas tree
3139160252_75109e9e05#1	three women are posing for photo in front of christmas tree
3139160252_75109e9e05#2	three women are posing together in front of christmas tree
3139160252_75109e9e05#3	three women one of which is holding paper cup posing in front of christmas tree
3139160252_75109e9e05#4	three women standing next to each other are smiling in front of christmas tree
3139238055_2817a0c7d8#0	four people make silly pose at the dinner table
3139238055_2817a0c7d8#1	four people smile and hold golden plates behind their heads
3139238055_2817a0c7d8#2	friends posing for picture while holding plates
3139238055_2817a0c7d8#3	two men and two women hold gold plates behind their heads
3139238055_2817a0c7d8#4	two men and women pose for camera with large gold plates held behind their heads
3139389284_f01bd4c236#0	dog leaps down the road
3139389284_f01bd4c236#1	little white dog jumping on the ground
3139389284_f01bd4c236#2	small dog jumping on street
3139389284_f01bd4c236#3	white dog is jumping on the street
3139389284_f01bd4c236#4	the dog is jumping in the air
3139393607_f0a54ca46d#0	man is sliding along green barrier on his snowboard
3139393607_f0a54ca46d#1	person wearing black sweatshirt and red pants is riding on snowboard on green box
3139393607_f0a54ca46d#2	snowboarder is beginning stunt from the edge of green jump box
3139393607_f0a54ca46d#3	snowboarder is standing on top of platform in the snow
3139393607_f0a54ca46d#4	the snowboarder is ready to jump
3139837262_fe5ee7ccd9#0	boy in camouflage coat is jumping onto snowboard
3139837262_fe5ee7ccd9#1	boy in black snow pants and brown jacket is diving onto blue sledge in front of wooden fence
3139837262_fe5ee7ccd9#2	boy jumping onto sled
3139837262_fe5ee7ccd9#3	child in camouflage jacket jumps on sled
3139837262_fe5ee7ccd9#4	the boy is wearing jacket
3139876823_859c7d7c23#0	downhill skier in black catches tiny bit of air
3139876823_859c7d7c23#1	man skis down snowy hill
3139876823_859c7d7c23#2	skier about to go down the mountain
3139876823_859c7d7c23#3	skier is on snow covered hill
3139876823_859c7d7c23#4	the skier is aiming downhill overlooking wooded area
3139895886_5a6d495b13#0	blackandwhite dog bounds off the ground all feet in the air of yellow field
3139895886_5a6d495b13#1	black and white dog is jumping over high yellow grass
3139895886_5a6d495b13#2	black and white dog is jumping through field of brown grass
3139895886_5a6d495b13#3	dog runs through the dry grass
3139895886_5a6d495b13#4	the black and white dog runs through the field
3141293960_74459f0a24#0	man in red shirt is doing trick with his skateboard
3141293960_74459f0a24#1	man wearing red shirt is skateboarding
3141293960_74459f0a24#2	skateboarder is performing trick in the air
3141293960_74459f0a24#3	skateboarder jumps in the air
3141293960_74459f0a24#4	person doing skateboard trick in midair
3141440149_00becbbb93#0	two boys are standing in kitchen
3141440149_00becbbb93#1	two boys play in kitchen
3141440149_00becbbb93#2	two little boys are standing in kitchen
3141440149_00becbbb93#3	two young boys are playing in the kitchen of house
3141440149_00becbbb93#4	two young boys standing in kitchen with hardwood floors
3141613533_595723208d#0	two boys standing in an empty corn field in the winter
3141613533_595723208d#1	two people stand on harvested field in cold weather
3141613533_595723208d#2	two young boys standing in corn field after the harvest
3141613533_595723208d#3	two young boys wearing jackets frolic in large field
3141613533_595723208d#4	two young people brave the cold
3142055158_01b9e4caa4#0	man playing rugby has the ball and tries to evade tackler
3142055158_01b9e4caa4#1	man runs on field with the ball and man in striped shirt is on the ground
3142055158_01b9e4caa4#2	man wearing red socks playing running with some other men
3142055158_01b9e4caa4#3	one rugby player attempts to take down another
3142055158_01b9e4caa4#4	while holding tight to the ball the man in red socks is getting tackled
3143155555_32b6d24f34#0	toddler girl plays with another younger toddler girl
3143155555_32b6d24f34#1	two babies sitting on playmat reaching for something
3143155555_32b6d24f34#2	two babies are sitting close together while reaching for something
3143155555_32b6d24f34#3	two children sitting on the floor
3143155555_32b6d24f34#4	two young children sitting together playing
3143159297_6f2f663ea6#0	bald man is holding cute baby girl in an office
3143159297_6f2f663ea6#1	adult man holds toddler
3143159297_6f2f663ea6#2	an old man and baby in red
3143159297_6f2f663ea6#3	smiling man and baby girl posing for photo
3143159297_6f2f663ea6#4	smiling man holds small child wearing pink and red
3143574389_8a4048fbe2#0	crowd is watching performance in dark venue and one man is taking photo
3143574389_8a4048fbe2#1	crowd of people containing some people who are smiling and some who are taking photographs
3143574389_8a4048fbe2#2	crowd of people with one man taking photo
3143574389_8a4048fbe2#3	man with camera aimed at singer in green jacket
3143574389_8a4048fbe2#4	photographer taking picture while surrounded by people
3143765063_a7761b16d3#0	man in an elf hat holding white umbrella is standing on the sidewalk with two other men
3143765063_a7761b16d3#1	man in pointed red hat holds white umbrella
3143765063_a7761b16d3#2	man is wearing santa hat and holding white umbrella while two men with orangish red boas look on in amusement
3143765063_a7761b16d3#3	people walk out of building past two manequins
3143765063_a7761b16d3#4	two men in black leather jackets glasses and hats open them up for walkers
3143953179_1c08c023a5#0	bunch of people are watching ice skaters
3143953179_1c08c023a5#1	kids play in the snow while parents watch
